episode;steps;reward;average
116;163;24.257685269816477;-98.58564056368773
117;499;26.7789559806538;-96.60872174039267
118;382;-213.41334684832083;-96.024522928279
119;185;-55.997958704344946;-94.34969450371551
120;84;-35.978924570798156;-92.49073780666619
121;105;-54.76062480343626;-90.75266875598544
122;139;-33.907823548282806;-89.91903239308894
123;192;-23.128339339210967;-87.08776765289853
124;121;-43.942159214924516;-85.98835090013286
125;233;-20.809109936194346;-84.94545095769963
126;229;6.520741764343967;-82.65821111009618
127;170;-59.686040864101024;-81.98218744818436
128;137;-105.62299894485915;-80.86797030294463
129;142;-48.55488571193544;-80.24538689769065
130;135;17.713454095177482;-78.41178577802197
131;235;-0.6959060689415963;-77.81169011652553
132;210;-112.84976400098415;-77.69482072391425
133;149;-75.51263064958424;-77.49588910956574
134;213;-10.886873579140229;-77.01193014633728
135;110;-39.778557683757796;-75.94546634730574
136;146;-4.828981592679753;-75.13332457655501
137;168;-26.769406346026344;-74.63778691313675
138;172;-32.85514490649645;-74.1746853701367
139;199;39.181796000003374;-71.9759733039499
140;111;-78.35364957646203;-72.69600896633936
141;182;-11.083958031640876;-71.67321673827752
142;124;-44.28478768248314;-71.19101412463577
143;127;-18.857106054428343;-70.49015374892751
144;169;-37.25721639422815;-69.58848204575992
145;499;-24.817454510472846;-69.39798949809676
146;499;79.47088664584192;-67.51696509521472
147;499;44.84621100876231;-64.87527258699645
148;216;8.230828999132598;-64.35039787227821
149;228;32.59342455550606;-63.61199820059871
150;499;64.30852559609595;-61.96885013529602
151;117;-55.46983855445619;-62.16414488958605
152;121;11.762872649423088;-61.21248268528785
153;304;30.310930886437603;-59.69524299879274
154;106;-16.523752139175812;-58.65287402120118
155;154;-92.39658449814006;-58.817626165074216
156;267;-215.365086681678;-59.84668394940808
157;434;-59.40657818818455;-59.39403002233222
158;222;-107.518771419917;-60.03510921690292
159;102;-46.31121695416476;-59.28076965881724
160;181;-162.82847931291715;-59.63540340080122
161;114;5.826732263018485;-58.38825444005269
162;499;49.85354195875078;-55.88437327738081
163;227;-2.216293035990603;-54.2651482223731
164;100;-24.00529375132085;-53.119303179178566
165;499;112.62921302118231;-51.310502038202976
166;499;31.810953609293236;-49.502218823247276
167;499;44.713109208751646;-48.46933948382087
168;499;78.79318906767672;-47.42006643592563
169;499;28.678445323104604;-46.777555669754875
170;277;-79.22226483946908;-45.16462515587553
171;499;98.18761692840962;-42.74096374640483
172;499;36.317322590587615;-41.40199045144556
173;499;100.74563889958186;-39.78187092169687
174;499;-14.40873537315516;-38.486005844855306
175;97;-60.07809177865698;-38.21662715449613
176;499;5.093049951408413;-35.7665658335804
177;499;117.73514673174498;-33.850946836244745
178;499;61.04195699352512;-32.40068273552103
179;138;-39.151536044818414;-32.18315820459263
180;105;-30.237753668717545;-32.11419910865216
181;499;70.83228017445084;-30.829260727157024
182;499;127.88293375333728;-29.097018731113575
183;499;16.121735711390297;-27.99183265684803
184;176;-5.666517166097947;-27.865121999412995
185;499;37.034725017717804;-26.926552075464976
186;344;-155.31203064898173;-28.76964885700126
187;250;-47.33972651731362;-28.52277845286075
188;499;4.265230695784133;-27.447100780839033
189;102;-17.056687899112433;-27.192156396401405
190;499;90.81163525667971;-25.62492042319833
191;497;-178.49843571960497;-27.1706382312873
192;499;81.8581943106513;-25.39084428928368
193;499;80.60608590539934;-23.910228044321972
194;499;80.29751873127347;-22.83890802051531
195;149;-80.50636052124764;-22.58282790683249
196;422;-116.17877722041297;-24.519872241705162
197;499;32.30313366881594;-23.45793339780066
198;499;56.66493643577304;-22.467904096153426
199;473;-58.02330638752146;-21.895673772906903
200;499;132.41311348155736;-18.15204892015816
201;271;-270.5153191933812;-20.116360853631015
