episode;steps;reward;average
84;180;-97.56804234471221;-144.15147674238895
85;153;-96.11870808400205;-143.59295617659376
86;115;48.17185311589054;-141.38876296633532
87;200;-101.2981526908834;-140.93318784956884
88;106;-49.52803794283244;-139.90616369331337
89;214;-43.936490738826805;-138.83983399381907
90;118;-90.53425063189759;-138.3090034074243
91;95;-64.3123771916436;-137.50469225290496
92;152;-109.92503785298754;-137.20813682924992
93;120;-78.70457768180076;-136.5857585404473
94;97;-42.9584508649872;-135.6002079333372
95;148;-27.633130587330157;-134.47555087764962
96;258;-81.6999703854301;-133.9314727282453
97;499;163.66168181223506;-130.8948078859955
98;78;-96.25107165407589;-130.54487115638017
99;118;-104.57273011759419;-130.2851497459923
100;161;-102.65575407879813;-128.03114515575018
101;175;-61.03053288138704;-127.66551456672416
102;238;-61.77588613508826;-126.54177838246531
103;104;-77.8886553613321;-124.88348791254822
104;203;-60.788518825796885;-123.01112163015056
105;194;-104.6231400756598;-123.16552590515755
106;192;-104.32864325899828;-119.98474706337714
107;115;-259.3280489596491;-121.52592672257806
108;499;132.59948018052478;-119.10626543550634
109;499;72.21442279423007;-114.57184370869534
110;107;-173.23252487064855;-112.83194067694707
111;112;-7.96859579414911;-110.69575490269071
112;134;-4.108492389256824;-109.4447438669282
113;308;-36.347885119322754;-108.81389707378217
114;259;-25.95020619286383;-105.67025000477963
115;179;-8.91015202985841;-103.68777763123347
116;167;-68.87222218857194;-102.8835860450768
117;155;-109.97725441643385;-103.12495630630112
118;113;-2.496473147580133;-101.59209166854659
119;197;-32.297217170759126;-100.75886604429836
120;499;5.34917162518518;-100.1274132021257
121;103;-219.81703717658812;-98.5329374606492
122;189;10.347259059844134;-97.03486216776479
123;132;-58.702083535587555;-96.10428059253297
124;79;-23.484782195968023;-95.16208773297538
125;209;-20.9403047652019;-94.66653019356453
126;241;-94.35756192443326;-93.44229512068823
127;95;-32.44548958948528;-91.89147523430083
128;307;-110.85988787517971;-90.83683186486691
129;239;3.5163609323292633;-90.50884505524273
130;109;-49.59770130998477;-89.325263876263
131;121;-36.109212205904136;-88.70593488432465
132;222;40.40739965413928;-86.84194834090812
133;409;-185.18162665715403;-88.02675185522914
134;499;12.546573470398936;-87.0462128985955
135;271;-53.86349075314234;-86.4315721782195
136;499;32.90422321693498;-85.39447929411875
137;173;-8.783920808487764;-84.67924692885364
138;349;-42.3972865758024;-84.11368950712642
139;499;72.40010826900846;-83.25186304779379
140;499;80.80428063594157;-79.96014701146854
141;324;-72.54517689649217;-80.90139544104163
142;109;6.120301859730489;-79.18454610937246
143;127;66.71207204643781;-78.25781818786763
144;499;72.56543381111412;-76.72709073450595
145;499;72.39295064938892;-74.4070463033714
146;127;22.112421084449082;-73.60325234950224
147;158;-29.395589368947157;-70.06070227984564
148;133;-28.94360090918549;-68.827361218629
149;499;0.18028598710365107;-68.0985732933298
150;130;-107.95191536887984;-68.15400386358186
151;382;-56.407766872394305;-68.71741346118915
152;154;-21.186760911128374;-67.54742765826853
153;446;-261.7465710055402;-69.16850919952503
154;79;4.751803286835823;-67.48151826824487
155;491;-158.02449602431457;-67.66109882702456
156;281;-99.83821310587359;-66.78351387242542
157;499;51.48372680563915;-64.86110824491489
158;134;16.215058513886092;-63.1932431568824
159;240;-47.96874718222665;-62.94968536399411
160;499;-41.891232171664974;-62.07148550321495
161;335;-232.9566974147904;-63.892811798075215
162;95;-61.333866860502624;-63.52013893265397
163;499;-35.13119711461529;-62.25798640787494
164;94;-12.658796582434604;-59.41271973566315
165;219;-25.94434701395167;-58.97698655415272
166;499;33.00413688557678;-58.08998846490876
167;156;-45.65361383490132;-57.97297565614701
168;284;-75.06181223039503;-57.59989912358058
169;123;-29.52645823293608;-56.67296776906957
170;499;-0.08142692590495537;-54.47433888893215
171;94;-118.75183749452523;-54.70953804025994
172;499;-15.751883075884901;-55.88934735414092
173;71;-18.361778926403517;-51.40836096999503
174;197;-24.991385040399607;-49.715333467323944
175;119;-20.92542909320963;-49.42982224113211
176;92;25.691321574485812;-48.10105625700935
177;420;-163.30883592005335;-47.90777336598304
178;162;-71.02016563583234;-46.52364220905195
179;107;-48.326605563059076;-44.97412681652548
180;84;-36.31619855472329;-44.64426422696934
181;499;-29.780412664038224;-44.07678193319411
182;499;-8.723753166034257;-43.42308539789632
183;223;-23.46504279391158;-43.01980903721921
184;116;22.3114728666323;-41.82101388510577
185;113;-147.9589496643886;-42.33941630090963
186;499;-13.982465687193864;-42.96095948894048
187;499;3.6171144463318354;-41.91180681756833
188;145;10.98622038323549;-41.306664234307654
189;116;-65.98427269274177;-41.5271420538468
190;112;-62.88739548914868;-41.2506735024193
191;111;-34.93608139534274;-40.95691054445629
192;476;-147.39124644319512;-41.33157263035838
193;325;-18.540724400298046;-40.72993409754335
194;499;120.25193415815859;-39.09783024731189
195;146;19.30371260135155;-38.62846181542507
196;499;-14.243971445802933;-37.9539018260288
197;177;-82.48488703535597;-40.41536751450471
198;94;-38.43750615266674;-39.837231859490615
199;102;-56.18776685690831;-39.35338222688376
200;334;-9.435898888517329;-38.421183674980945
201;499;56.547209043761114;-37.24540625572947
202;171;-15.81093323359488;-36.78575672671454
203;499;-4.549181582241836;-36.05236198892364
204;167;-10.763912820619751;-35.55211592887187
205;499;43.71383192482281;-34.06874620886704
206;250;-47.4337535756794;-33.499797312033856
207;228;-17.898836226370335;-31.085505184701063
208;201;-118.19159869805625;-33.59341597348688
209;499;32.3487081521302;-33.99207311990787
210;118;-20.79626491328787;-32.467710520334265
211;75;-6.198168808017712;-32.45000625047295
212;499;50.20250669400854;-31.9068962596403
213;93;6.820345829191879;-31.475213950155148
214;499;129.8639302267429;-29.91707258595908
