episode;steps;reward;average
0;20;19.287674609523357;19.287674609523357
1;20;3.583131921843731;11.435403265683544
2;20;13.920745176692051;12.263850569353046
3;20;3.807057741402554;10.149652362365423
4;20;-3.8074168454669746;7.358238520798944
5;20;5.465310097039929;7.042750450172441
6;20;11.64380068139497;7.700043340347088
7;20;-1.5659410212748932;6.54179529514434
8;20;17.062216721226207;7.710731009153436
9;20;0.33031463007416906;6.97268937124551
10;20;11.66808866090091;7.399543852123273
11;20;0.18367292177134242;6.798221274593946
12;20;4.743142088985934;6.640138260316406
13;20;10.933544447222863;6.946810130809724
14;20;-1.8504206330185191;6.360328079887841
15;20;17.736466388194145;7.0713367241569856
16;20;-7.042527314380917;6.241109427772403
17;20;-13.46936406521002;5.146083122606713
