episode;steps;reward;average
130;83;-25.857270808955448;-84.3457679382096
131;308;22.147300765125777;-83.5743415181035
132;108;-81.9953565865108;-83.12202257200357
133;499;33.41376524657006;-81.30330659797288
134;164;74.97342824513396;-79.9730161668495
135;193;-68.04981119067527;-78.14857758901441
136;282;-206.70702292565798;-79.63289842068302
137;158;-207.28953310165542;-79.31430726336868
138;186;-36.515044478370314;-78.70354671086578
139;122;23.42381035440303;-77.80138716493687
140;499;43.61137539334605;-76.79022053343851
141;246;7.378849769456622;-75.85413828930027
142;400;-27.510084319204253;-74.36381342601555
143;123;-28.82831407343666;-74.10445310012267
144;456;-84.37648396447597;-73.30084218650457
145;485;-81.14331116785644;-72.27859413197316
146;122;-5.91736413913614;-72.24367578097315
147;204;-6.161980595985625;-70.48573440642002
148;108;40.41534384474039;-69.00635231854356
149;499;-4.112161708815277;-66.70067974772122
150;172;6.17595049572779;-66.7469507031949
151;275;-189.24368011811723;-67.20514588882018
152;93;-52.27750051157676;-64.98168689658608
153;251;27.6017386413331;-63.822646302176985
154;137;-86.71513680565181;-63.52970100275402
155;499;45.14014469122964;-61.71424505739215
156;499;44.060909297688056;-59.87598601517863
157;499;103.56401028108218;-57.92591539465331
158;80;-91.67939598172929;-57.61672771330307
159;499;68.40134515311962;-56.61455373978629
160;499;28.51238872021084;-55.77087182198994
161;212;53.09804087004309;-54.30056899756196
162;142;-6.112458092901505;-53.28497938073932
163;73;-17.916832952659576;-52.239337315366214
164;94;-33.7905955705768;-52.042117427435485
165;133;17.373654980299193;-50.917805306711955
166;499;85.11734699843639;-47.5934154813896
167;499;32.68675451262158;-45.85601278838486
168;182;-395.19170092249925;-49.57853982168926
169;499;5.5344440428866974;-48.617157196012734
170;499;39.346889020904555;-47.471646174217575
171;499;126.09937667958846;-45.52282252776288
172;499;21.00463734782962;-44.843909500934224
173;499;41.579627040772586;-43.27837157675819
174;499;78.81404678251761;-40.46915291963396
175;276;-259.38248011537394;-42.080401852936674
176;313;-59.009135542643584;-41.80778320619947
177;499;-25.807070922946856;-40.92423454151885
178;499;50.11859442971442;-39.866446680477445
179;328;-217.4434597906817;-41.27756423877479
180;148;7.243862174188777;-40.599864812094616
181;445;-88.07783632253103;-41.05007386966647
182;499;-2.059665141294759;-40.56175260736824
183;499;118.32529520420071;-38.58734807140422
184;499;48.14726978195356;-37.88708215259791
185;499;71.28410198003219;-36.90765344239112
186;499;47.86181601324484;-35.58861692380125
187;499;21.49358635454397;-34.870489888990676
188;499;-12.540583494193744;-34.69377383631037
189;170;-5.807166262265099;-34.09440814686846
190;218;-159.3680388562737;-35.137350753132814
191;499;-16.117787771123698;-34.64294530434112
192;102;24.643247745004388;-33.54087079664513
193;234;-130.57079613171277;-34.648530417771546
194;137;-130.02632373276998;-35.08999789144287
195;499;63.07437092186062;-34.1994234875017
196;154;1.25349044350682;-33.10261453447353
197;136;-38.55035400541529;-33.138310607950665
198;499;68.41650596903553;-32.009111484296234
199;499;41.73214041883088;-30.657721578126242
200;499;63.747547304524645;-30.164661892145336
201;499;50.06169591959738;-29.109599883442428
202;499;31.997109024587104;-28.08896551629729
203;499;65.95959825199671;-26.51069568540563
204;106;-5.7486730757382105;-26.152824723910786
205;499;42.320666956896325;-23.798398601229714
206;499;49.560089031161816;-22.921070765194713
207;499;94.30239003136282;-21.07507375818102
208;239;-210.8546708214701;-22.47482665164858
209;429;-181.4230660335022;-23.257521396252386
210;499;41.22127380035621;-22.500965528214028
211;499;15.386196933486314;-21.371189738163654
212;136;-43.68494474198951;-21.65079824547267
213;499;95.92870826429647;-19.76945948298936
214;432;-317.038856149227;-22.499798600314225
215;499;68.95730220245512;-21.124106506499256
216;499;70.4787067456529;-19.70658819311599
217;138;-142.06481789990372;-19.84880103182922
218;499;103.13194230345617;-18.621512522842714
219;138;-24.90549673119567;-18.02413285508772
220;499;47.10796350272677;-16.866762958794983
221;499;79.85112681076605;-16.487781078155052
222;315;-27.50407664425056;-16.073869402131653
223;499;87.39617272461422;-15.011154044166652
224;499;31.194798018082537;-13.98779589721649
225;360;-34.46816345370233;-13.621981630562408
226;171;-202.10438850332991;-14.732535350489439
227;499;31.028650724379663;-14.251053531518572
228;499;87.39941402297804;-12.943662155542874
229;499;75.05793886660024;-12.06790140108822
230;499;78.42945899842329;-11.025034103014432
231;148;-61.895968770016054;-11.86546679836585
232;499;42.628569153954345;-10.619227540961196
233;499;59.850154001301334;-10.354863653413886
234;499;10.142177699618525;-11.003176158869042
235;499;56.59839167081792;-9.756694130254113
236;167;-119.90966639760882;-8.888720564973617
237;128;18.397372431636796;-6.631851509640698
238;410;-217.25921137807597;-8.439293178637751
239;499;35.97545969361134;-8.31377668524567
240;499;31.786072154435402;-8.432029717634776
241;499;78.66395217149521;-7.719178693614391
242;309;-98.9631165446478;-8.433709015868827
243;499;65.60200265037923;-7.489405848630668
244;499;17.366671202126568;-6.4719742969646425
245;499;18.27387825313241;-5.477802402754755
246;499;29.972051259066664;-5.118908248772726
247;499;96.1424955693683;-4.095863487119187
248;499;26.836799862583966;-4.231648926940752
249;499;19.952607824255725;-3.9910012316100416
250;499;74.8103553711131;-3.3046571828561877
251;499;73.54966721320844;-0.6767237095429306
252;499;18.013407133967224;0.026185366912509275
253;499;14.57477760183875;-0.10408424348243309
254;499;91.53213605909433;1.678388485165027
255;271;-7.258816549399086;1.1543988727587395
256;499;39.7287937848317;1.1110777176301756
257;499;85.18008476418578;0.9272384624612127
258;499;97.1247072536629;2.8152794948151336
259;499;14.500626963502436;2.276272312918962
260;138;-22.99362496714963;1.7612121760453578
261;367;-60.793359213031934;0.6222981752146084
262;499;132.2830515927336;2.0062532720709596
263;499;1.1800928173911316;2.1972225297714676
264;499;8.26119267216118;2.617740412198848
265;499;85.36389934985249;3.2976428558943804
266;499;116.18240088905708;3.608293394800587
267;499;-12.191087133463542;3.159514978339735
268;95;-44.793734328641364;6.663494644278315
269;499;55.57630385056525;7.163913242355102
270;142;3.3832170421582077;6.804276522567637
271;142;-30.38896868352552;5.239393068936497
272;499;40.0945605772675;5.4302923012308755
273;499;8.413291520270548;5.098628946025855
274;499;29.819580834671694;4.608684286547394
275;499;28.455677376941612;7.487065861470549
276;499;-28.900798896755305;7.788149227929433
277;499;20.59992679139912;8.252219205072892
278;499;68.76250541199734;8.438658314895722
279;499;35.38739627189971;10.966966875521537
